5.712	1.912	1.434	1.347	1.416	2.811	3.281	2.764	4.704	1.718	792	1.006	5.346	4.052	110	2.903	869	1.270	1.376	2.113	1.033	1.663	4.320	956	4.843	713	700	1.535	2.544	2.861	2.824	2.185	213	1.846	9	54	802	947	636	288	0	2.460	2.379	5.547	262	0	878	448	222	0	58	0	83	631	0
2.318	2.941	519	137	365	1.266	1.619	1.473	1.023	194	85	180	1.925	1.495	80	90	389	595	85	100	44	447	334	100	375	178	135	0	948	484	376	623	14	847	84	0	148	270	553	52	0	317	68	505	357	111	239	104	65	0	44	0	26	93	0
1.450	571	957	191	471	294	447	307	957	698	181	208	441	259	0	134	206	293	283	484	164	865	258	0	437	0	37	378	211	340	131	406	32	149	47	64	0	45	19	62	0	459	303	542	71	0	40	0	112	0	15	0	0	0	0
1.156	137	219	711	109	328	356	109	275	78	82	55	246	137	0	0	0	55	27	48	27	350	0	33	109	0	0	55	0	164	55	27	0	55	0	0	27	0	19	8	0	191	0	27	0	0	0	0	9	0	0	0	27	0	0
1.262	382	405	82	692	727	542	220	637	360	314	255	479	457	115	45	20	350	221	145	69	480	730	100	525	144	25	49	105	716	123	275	25	211	9	0	63	45	39	39	0	764	271	220	24	49	199	0	33	0	0	0	0	0	0
2.782	1.040	242	383	560	2.011	3.803	372	792	418	396	412	1.200	3.214	224	427	170	134	264	97	176	793	494	100	1.317	485	185	376	700	1.305	599	685	7	544	47	69	21	90	58	47	0	405	251	501	71	0	40	90	22	0	0	0	69	19	0
3.346	1.887	447	356	619	3.288	6.254	951	1.027	300	640	314	2.797	3.958	836	557	81	301	236	449	185	992	264	100	1.240	265	469	940	369	1.139	859	1.165	238	1.541	28	0	105	90	58	16	0	67	68	550	24	0	80	90	90	0	0	0	53	56	0
2.389	1.326	246	55	281	465	895	2.810	536	39	11	257	943	364	3	1.415	747	499	321	97	105	221	282	33	61	357	0	282	0	617	796	113	127	341	19	182	712	541	212	23	0	159	68	341	24	0	80	45	9	0	29	0	122	56	0
4.806	968	982	302	683	644	849	578	3.878	162	435	124	855	1.471	3	403	158	3.531	565	1.240	617	692	353	100	1.294	59	206	301	316	527	709	409	145	637	19	0	84	135	116	348	0	2.420	881	1.374	404	0	200	134	96	0	44	0	0	37	0
1.593	155	815	39	321	418	300	78	272	2.056	70	265	310	272	10	0	116	78	78	0	0	1.854	39	33	78	0	0	0	0	116	39	219	39	106	0	0	0	45	0	16	0	116	0	369	0	0	0	0	43	0	0	0	0	0	0
780	204	196	82	303	442	834	32	662	70	2.253	83	747	510	53	179	0	0	76	0	88	455	81	0	165	59	111	0	105	0	197	265	7	133	0	0	63	23	19	54	0	11	68	142	0	0	40	45	4	0	0	0	60	37	0
