0	1864	2294	2586	1290	1789	2020	3450	4278	4455	4633	6180	5042	3853	4058	5240	4985	6973	13109	16413	16294	8811	11569	10927	8165	10937	12149	10008	8812	5931	8763	7394	13434	8119	4111	12066	6184	7365	13977	6897	15555	13061	12934	17577	18391	17228	12239	25699	-1	15470	14973	6873	9718	11126	17294
1863	0	1344	2489	2734	3547	3656	2743	2988	4758	6325	7872	6734	5488	5694	4533	4278	5587	11819	15123	16597	9114	11872	12619	9857	12629	13763	11622	10426	7545	10399	9030	15070	9755	5747	11359	5477	6658	13270	5511	14265	11771	11644	16287	17101	18920	13853	24992	-1	15773	15276	8509	9011	10419	16587
2294	1344	0	1181	1783	3545	4209	4031	2143	3429	5723	7268	6131	6042	6247	5821	5566	4837	10974	14278	15268	7785	10543	12016	9254	12026	13240	11099	9903	7022	10167	9583	15623	10308	6300	12647	6765	7946	14558	4761	13420	10926	10799	15442	16256	18316	13330	26280	-1	14444	13947	9062	10299	11707	17875
2586	2519	1211	0	2075	3791	4501	5063	2651	2849	5412	7349	6212	6334	6539	6853	6598	5345	11482	14786	14688	7205	9963	12097	9335	12107	13196	11391	10195	7314	10459	9875	15915	10600	6592	13679	7797	8978	15590	5269	13928	11434	11307	15950	16764	18397	13470	27312	-1	13864	13367	9354	11331	12739	18907
1290	2735	1784	2076	0	1762	2909	4627	3768	3480	4154	5701	4563	4614	5019	6417	6162	6463	12599	15903	15319	7836	10594	10448	7686	10458	11601	9460	8264	5383	8528	8174	14395	9080	5072	13243	7361	8543	15154	6387	15045	12551	12424	17067	17881	16749	11691	26876	-1	14495	13998	7834	10896	12303	18471
1789	3547	3547	3791	1763	0	1667	5119	5487	5016	3990	4895	3797	2855	3541	6909	6654	8182	14318	17622	16855	9372	12130	9682	6920	9692	10781	9471	8395	5734	7784	6415	12520	7602	3995	13735	7853	9034	15646	8106	16764	14270	14143	18786	19600	15943	11055	27368	-1	16031	15534	6356	11387	12795	18963
2020	3656	4209	4501	2909	1667	0	5091	6193	6163	5455	5629	5173	2112	2360	6881	6626	8888	15024	18328	18002	10519	13277	11147	8147	10942	11225	9558	8362	5481	7023	5654	11721	6421	2706	13707	7825	9006	15618	8812	17470	14976	14849	19492	20306	16677	11315	27340	-1	17178	16681	5175	11359	12767	18935
3449	2739	4031	5033	4628	5119	5091	0	5306	6967	7970	9517	8379	6923	7129	1791	2131	7905	14137	17441	18806	11323	14081	14264	11502	14274	15487	13346	12150	9269	11834	10465	16505	11190	7182	8617	2735	4058	11078	7829	16583	14089	13962	18605	19419	20565	15577	22800	-1	17982	17485	9944	6158	8456	14624
4278	2990	2151	2621	3767	5487	6193	5308	0	5041	7653	9045	7908	8026	8231	7098	6843	3381	9020	12324	15260	9397	12155	13793	11031	13803	14892	13083	11887	9006	12151	11567	17607	12292	8284	13924	8042	9223	15835	3669	11466	8972	8845	13488	14302	20404	15166	27557	-1	14869	15559	11046	11576	12984	19152
4455	4758	3429	2849	3480	5016	6163	6967	5041	0	3316	8425	7288	7669	8355	8757	8502	7735	13872	17176	12524	5041	7799	13173	10411	13183	14272	12952	11756	8875	12020	11229	17334	12416	8461	15583	9701	10883	17494	7659	16318	13824	13697	14625	19154	17281	14546	29216	-1	11700	11203	11170	13236	14643	20811
